Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,City,Gender,Country,Hour,Day,Month
59.51,40.0,31265.75,136.18,3,1,20,10,8,5
44.33,31.0,27262.51,212.87,149,0,118,3,12,4
76.2,50.0,43974.49,123.13,27,0,157,3,3,6
78.7,52.0,49101.67,221.98,307,1,200,17,6,2
66.08,19.0,58966.22,191.26,499,0,27,21,12,6
80.3,37.0,67132.46,177.55,105,0,27,21,13,7
56.39,46.0,54286.1,200.71,322,0,154,20,17,6
36.73,31.0,27262.51,207.17,191,0,62,14,21,6
55.6,24.0,52252.91,182.2,477,0,149,21,12,1
40.01,26.0,66291.67,190.17,61,0,1,18,5,7
82.07,25.0,50506.44,241.03,331,0,118,17,8,7
43.84,32.0,55424.24,172.83,129,0,34,22,28,4
51.87,35.0,53898.89,119.2,512,1,92,13,24,4
43.49,28.0,71222.4,217.37,379,0,205,1,26,2
73.89,31.0,55121.65,236.87,6,0,44,21,6,5
65.59,39.0,37334.78,109.29,460,1,187,7,9,2
46.61,42.0,43241.19,188.56,136,1,35,14,19,5
63.45,42.0,60514.05,243.61,436,1,81,11,6,4
68.18,37.0,47575.44,214.42,163,0,98,12,27,2
86.06,35.0,65953.76,119.2,512,1,63,13,18,3
80.51,55.0,57014.84,187.76,41,1,136,23,30,3
74.54,50.0,57868.44,123.13,472,0,185,7,4,4
40.17,45.0,27241.11,110.66,290,1,166,2,16,6
59.59,34.0,59785.94,160.03,182,1,126,0,11,3
34.3,34.0,34191.23,224.44,182,1,50,0,11,3
82.07,41.0,51510.18,137.24,484,0,49,13,21,6
81.98,34.0,34191.23,151.95,193,0,188,8,27,2
56.39,40.0,44248.52,140.46,475,0,80,4,3,7
89.05,41.0,57846.68,158.42,248,1,187,23,31,5
44.46,33.0,43974.49,125.27,279,0,84,16,25,2
47.74,51.0,74159.69,120.37,435,1,155,18,17,1
54.37,36.0,76003.47,140.46,93,0,49,22,8,5
39.96,25.0,50671.6,241.03,318,1,36,9,23,3
44.78,26.0,70203.74,131.68,204,0,162,0,9,3
40.04,23.0,47051.02,217.37,25,1,167,16,5,1
46.14,19.0,58966.22,195.69,439,1,68,16,30,1
51.87,24.0,50055.33,218.61,494,1,18,23,6,2
55.6,30.0,42993.48,128.62,318,1,75,7,5,1
50.08,36.0,29398.61,140.46,475,0,49,18,17,1
60.53,22.0,46868.53,139.34,41,1,187,4,3,7
60.23,33.0,55642.32,191.82,418,1,172,5,9,2
67.56,54.0,53188.69,269.96,487,1,168,16,3,1
80.3,28.0,53058.91,230.52,341,0,17,14,14,1
54.97,29.0,64267.88,231.95,512,1,53,23,10,3
83.71,38.0,57868.44,130.83,436,1,203,19,15,1
46.61,45.0,27241.11,195.69,515,1,51,21,3,4
44.33,36.0,50628.31,140.46,316,1,104,8,4,3
80.51,45.0,27241.11,137.24,515,1,53,9,20,6
53.92,49.0,43450.11,195.69,183,1,9,20,4,4
80.3,49.0,54755.71,195.69,464,1,0,20,4,4
65.07,38.0,60514.05,178.75,136,0,24,11,6,4
80.3,37.0,39031.89,195.69,464,1,9,20,4,4
43.49,37.0,63649.04,234.26,199,1,190,2,24,3
39.36,42.0,57868.44,120.75,207,0,44,11,6,4
66.08,34.0,45632.51,168.34,518,0,51,0,11,3
39.96,45.0,59886.58,137.24,515,1,21,2,16,6
50.19,36.0,29398.61,140.46,316,1,25,16,13,7
59.51,30.0,57877.15,219.94,184,0,149,10,29,6
56.16,30.0,33293.78,228.81,184,0,29,6,9,3
45.48,32.0,55424.24,178.92,234,1,87,3,9,1
53.68,29.0,72203.96,217.1,294,1,162,3,8,7
55.6,39.0,65953.76,154.74,260,1,30,14,20,6
66.08,33.0,73941.91,235.94,159,0,84,16,25,2
56.39,46.0,54286.1,193.29,200,0,17,23,28,2
35.61,28.0,53058.91,139.01,506,0,39,14,14,1
49.21,27.0,66815.54,131.29,167,1,52,20,17,6
89.05,33.0,43974.49,196.77,27,0,82,7,4,4
39.36,42.0,44078.24,243.61,436,1,44,11,6,4
59.36,37.0,37334.78,140.46,260,0,53,22,8,5
88.04,41.0,57846.68,120.63,105,0,42,20,5,1
46.14,33.0,43974.49,196.77,297,1,0,16,30,3
89.0,22.0,44248.52,139.02,15,1,84,2,4,2
75.42,26.0,66574.0,228.78,406,1,46,9,20,6
73.49,26.0,53336.76,131.68,75,1,4,6,11,3
53.92,31.0,52178.98,207.17,460,1,60,3,8,7
70.58,28.0,73207.15,230.52,506,0,198,12,27,2
80.3,37.0,53058.91,217.37,86,0,41,7,20,3
37.0,36.0,70592.81,232.78,408,1,149,10,8,5
38.37,36.0,59240.24,140.46,390,0,149,4,12,4
70.09,45.0,57195.96,174.88,515,0,178,12,5,3
65.65,24.0,52252.91,182.2,477,0,2,22,28,4
55.6,24.0,52252.91,182.2,477,0,149,5,19,4
78.7,30.0,57877.15,172.83,184,0,12,10,29,6
55.6,39.0,23936.86,212.87,144,0,115,21,2,6
56.39,29.0,61230.03,153.76,512,0,162,1,24,4
82.07,22.0,51257.26,136.21,396,0,82,21,12,5
59.51,40.0,65882.81,167.22,64,0,34,5,31,1
47.74,40.0,62669.59,195.69,109,1,147,10,8,5
80.3,19.0,39031.89,195.69,336,1,9,20,4,4
80.3,60.0,68448.94,122.02,464,0,128,16,5,1
54.47,35.0,54429.17,236.87,105,0,125,6,11,6
46.61,44.0,44174.25,122.31,359,0,14,21,17,4
42.04,19.0,51067.54,218.61,512,0,149,19,3,2
70.03,26.0,63430.33,203.84,243,1,148,1,26,2
40.04,42.0,60514.05,120.75,207,0,41,11,6,4
71.33,35.0,42993.48,221.18,516,1,125,2,26,1
81.58,38.0,71455.62,154.75,14,0,203,14,19,5
38.37,54.0,53188.69,190.05,495,0,139,20,25,5
45.53,52.0,30487.48,186.37,421,0,17,8,19,7
42.04,29.0,69646.35,216.49,514,0,48,16,16,1
53.92,28.0,70492.6,221.79,221,1,105,5,17,3
40.04,34.0,59785.94,168.34,124,0,188,0,11,3
55.6,29.0,69646.35,225.58,516,0,27,22,19,6
46.61,41.0,71157.05,187.76,136,0,128,20,30,5
75.55,36.0,59240.24,140.46,294,0,149,19,26,2
58.95,36.0,50628.31,140.46,73,0,149,10,24,5
37.0,53.0,57877.15,111.94,59,1,20,7,5,1
41.73,28.0,71222.4,217.37,379,0,62,0,30,6
69.62,34.0,59785.94,168.34,284,1,135,0,11,3
54.88,51.0,74535.94,130.41,379,0,37,5,31,1
82.07,22.0,63363.04,180.47,303,1,40,4,3,7
55.6,35.0,55121.65,236.87,516,0,125,4,12,5
82.07,43.0,39616.0,121.28,355,0,14,21,17,4
59.51,30.0,57877.15,138.71,515,1,20,13,18,3
43.49,37.0,50960.08,195.69,520,1,9,20,4,4
62.26,49.0,33553.9,140.95,248,1,137,14,14,3
66.08,33.0,55642.32,120.75,281,1,200,4,2,3
65.56,52.0,33951.63,226.49,336,0,42,16,5,1
83.71,44.0,64564.07,140.95,248,1,41,14,14,3
35.49,37.0,53058.91,110.84,506,0,198,21,6,5
75.55,36.0,76003.47,140.46,316,0,104,16,3,1
55.6,39.0,49282.87,217.37,360,1,105,10,21,7
80.3,49.0,45632.51,113.8,464,0,128,16,5,2
55.6,39.0,65953.76,128.62,174,1,2,13,18,3
47.74,33.0,58966.22,191.82,281,1,200,15,3,2
61.22,45.0,59610.81,174.88,49,1,21,12,5,3
46.61,45.0,59886.58,174.88,515,0,51,13,29,6
51.87,60.0,39031.89,195.69,336,1,9,16,5,1
34.66,27.0,59886.58,190.17,76,1,129,0,5,7
47.74,32.0,69481.85,178.92,234,1,174,3,9,1
71.33,28.0,68877.02,126.95,506,0,169,22,8,5
52.68,32.0,70505.06,172.83,234,1,99,22,28,4
55.6,54.0,53188.69,161.16,71,1,168,13,13,6
70.39,27.0,31281.01,115.26,425,1,98,12,27,2
56.16,33.0,43974.49,196.77,519,0,82,20,27,2
43.49,37.0,58235.21,109.29,260,1,9,9,31,5
80.3,37.0,70492.6,195.69,400,1,9,20,4,4
41.73,31.0,59677.64,207.17,460,1,15,2,16,6
61.22,45.0,31092.93,174.88,112,0,118,12,5,3
61.84,44.0,51317.33,187.76,357,0,14,14,19,5
84.59,28.0,71222.4,217.37,479,0,205,23,29,2
55.6,32.0,70505.06,182.2,129,0,100,22,28,4
52.84,42.0,43241.19,199.43,136,1,44,12,19,7
37.0,30.0,57877.15,244.91,379,1,20,10,8,5
50.33,31.0,56180.93,124.44,269,0,201,11,15,6
60.23,43.0,73538.09,167.86,355,1,136,21,3,4
79.97,42.0,43241.19,236.87,136,0,152,11,6,4
37.32,24.0,33293.78,184.88,318,0,149,20,5,1
44.15,23.0,63965.16,217.37,400,1,9,10,21,7
56.3,30.0,58677.69,184.88,411,0,75,1,3,5
54.88,51.0,74535.94,185.46,475,0,178,5,31,1
69.88,34.0,20592.99,168.34,182,0,126,0,11,3
59.05,48.0,52736.33,148.61,27,1,187,1,17,7
49.21,29.0,69718.19,200.71,37,0,27,16,16,1
80.47,38.0,53922.43,167.67,285,0,82,12,19,7
82.07,22.0,61009.1,131.68,473,0,40,4,3,7
51.87,46.0,33951.63,230.18,421,1,176,20,17,6
79.52,45.0,46197.59,174.88,515,0,152,20,30,5
56.39,40.0,40468.53,140.46,351,0,38,18,17,1
56.39,46.0,33951.63,229.12,31,1,176,20,17,6
40.04,23.0,25739.09,172.81,333,0,62,7,20,3
55.6,54.0,53188.69,240.63,512,0,139,9,8,1
39.53,43.0,54251.78,195.69,281,1,9,0,11,3
56.39,46.0,33951.63,199.39,381,1,176,20,17,6
42.04,60.0,69646.35,171.9,59,0,177,21,12,6
76.56,42.0,57868.44,178.75,136,0,39,14,19,5
86.06,30.0,57877.15,244.91,411,1,20,10,8,5
38.37,32.0,69481.85,172.83,234,0,42,22,28,4
83.71,42.0,60514.05,238.58,136,0,44,14,19,5
55.6,24.0,52252.91,182.2,477,0,2,5,31,1
41.73,28.0,71222.4,217.37,327,0,205,14,19,5
90.75,23.0,52182.23,172.81,136,0,44,16,15,2
55.6,24.0,52252.91,172.83,234,1,2,22,28,4
89.05,38.0,70582.55,122.04,436,1,203,18,23,1
40.04,23.0,56637.59,172.81,333,0,62,7,20,3
50.19,36.0,73882.91,115.26,123,1,162,8,20,6
72.23,41.0,57846.68,238.06,129,0,149,4,3,7
60.53,22.0,48335.2,261.02,292,0,101,9,21,4
47.64,19.0,33951.63,195.69,439,1,51,2,16,6
77.29,43.0,52563.22,121.28,308,0,14,21,17,4
60.53,22.0,59422.47,227.53,170,0,158,19,10,4
82.07,22.0,67058.72,136.21,105,0,10,4,3,7
59.05,43.0,73538.09,125.22,355,1,187,21,3,4
50.08,30.0,33293.78,174.88,218,0,139,17,10,5
80.51,48.0,70053.27,212.38,27,1,187,1,17,7
54.88,22.0,21644.91,136.21,368,0,197,20,19,2
55.6,35.0,42993.48,221.18,389,1,133,2,26,1
56.39,46.0,54286.1,193.29,200,0,22,23,28,2
56.39,29.0,69646.35,191.82,63,0,23,0,24,2
41.73,28.0,52011.0,217.37,479,0,62,1,26,2
65.07,34.0,34191.23,231.94,333,1,126,0,11,3
40.04,34.0,40183.75,168.34,147,0,158,0,11,3
72.92,19.0,49101.67,239.52,418,1,133,5,9,2
54.43,37.0,61228.96,258.62,506,0,118,22,8,5
54.88,29.0,69646.35,200.71,64,0,27,21,12,6
41.73,31.0,61840.26,207.17,269,1,81,11,9,7
80.47,38.0,57868.44,130.83,436,1,203,14,19,5
82.07,22.0,31215.88,121.07,41,0,62,4,3,7
80.31,28.0,71222.4,217.37,420,0,62,23,29,2
81.58,25.0,25686.34,141.89,225,1,64,9,24,5
